artist_name_fa,category,signal,rule_type,recommendation_scope,evidence_grade,recommendation_strength,confidence,recommendation_status,support_count,support_definition,signal_total_count,positive_signal_count,negative_signal_count,reference_positive_count,reference_negative_count,reference_total_count,recommendation_text,evidence_summary,uncertainty_note,recommendation_engine_version
ساسی مانکن,rap_hiphop,days_since_previous_release,personalized_cadence,artist_specific_exploratory,C_exploratory,descriptive,low,historical_observation,2,number_of_positive_artist_releases_with_valid_previous_release_gap,0,0,0,2,13,15,در دو انتشار پربازده قابل مقایسه، فاصله انتشار بین 365.1 تا 492.0 روز بوده است. این مقدار فقط یک مشاهده تاریخی است.,positive cadence observations=2; IQR=396.8-460.2; median=428.5,فاصله انتشار ممکن است تحت تأثیر کمپین، فصل، بودجه، آماده‌بودن اثر و سیاست پلتفرم باشد.,RE_V2
ساسی مانکن,rap_hiphop,duration_minutes,personalized_range,artist_specific,B_context_dependent,descriptive,low,historical_observation,2,number_of_positive_artist_releases_with_duration,0,0,0,2,13,15,در دو اثر پربازده موجود، مدت قطعه‌ها بین 2.73 تا 4.62 دقیقه بوده است. این مقدار فقط یک مشاهده تاریخی است.,positive duration observations=2; IQR=3.20-4.15; median=3.67,این بازه باید همراه با ساختار قطعه، سبک، هدف انتشار و اندازه نمونه تفسیر شود.,RE_V2
سهراب پاکزاد,pop,title_has_lyric_video,exploratory_opportunity,category_exploratory_fallback,C_exploratory,exploratory,low_medium,category_fallback_recommendation,6,number_of_positive_category_lyric_video_observations,12,6,6,19,57,76,در این دسته موسیقایی، قالب «Lyric Video» در بخشی از آثار پربازده دیده شده است؛ برای این هنرمند فقط به‌صورت آزمایشی بررسی شود.,positive category lyric videos=6; negative category lyric videos=6; total category lyric videos=12,این پیشنهاد fallback دسته‌ای است و شواهد مستقیم هنرمند را جایگزین نمی‌کند.,RE_V2
سهراب پاکزاد,pop,insufficient_artist_evidence,coverage_status,artist_status,D_insufficient,insufficient,insufficient,insufficient_artist_evidence,1,number_of_artist_high_or_top_releases,0,0,0,1,12,13,شواهد اختصاصی این هنرمند برای تولید توصیه شخصی‌سازی‌شده کافی نیست.,artist high_or_top releases=1; total releases=13,در صورت نمایش پیشنهاد دسته‌ای، آن پیشنهاد جایگزین شواهد مستقیم هنرمند نیست.,RE_V2
علیرضا قربانی,classic_fusion,days_since_previous_release,personalized_cadence,artist_specific_exploratory,C_exploratory,exploratory,low_medium,active_recommendation,4,number_of_positive_artist_releases_with_valid_previous_release_gap,0,0,0,4,5,9,فاصله انتشار آثار پربازده این هنرمند عمدتاً بین 92.1 تا 560.4 روز و میانه آن 325.7 روز بوده است.,positive cadence observations=4; IQR=92.1-560.4; median=325.7,فاصله انتشار ممکن است تحت تأثیر کمپین، فصل، بودجه، آماده‌بودن اثر و سیاست پلتفرم باشد.,RE_V2
علیرضا قربانی,classic_fusion,duration_minutes,personalized_range,artist_specific,B_context_dependent,cautious,medium,active_recommendation,4,number_of_positive_artist_releases_with_duration,0,0,0,4,5,9,برای برنامه‌ریزی آثار آینده، بازه تاریخی آثار پربازده این هنرمند حدود 3.57 تا 5.67 دقیقه و میانه آن 4.52 دقیقه بوده است.,positive duration observations=4; IQR=3.57-5.67; median=4.52,این بازه باید همراه با ساختار قطعه، سبک، هدف انتشار و اندازه نمونه تفسیر شود.,RE_V2
فرزاد فرزین,pop,title_has_lyric_video,exploratory_opportunity,category_exploratory_fallback,C_exploratory,exploratory,low_medium,category_fallback_recommendation,6,number_of_positive_category_lyric_video_observations,12,6,6,19,57,76,در این دسته موسیقایی، قالب «Lyric Video» در بخشی از آثار پربازده دیده شده است؛ برای این هنرمند فقط به‌صورت آزمایشی بررسی شود.,positive category lyric videos=6; negative category lyric videos=6; total category lyric videos=12,این پیشنهاد fallback دسته‌ای است و شواهد مستقیم هنرمند را جایگزین نمی‌کند.,RE_V2
فرزاد فرزین,pop,insufficient_artist_evidence,coverage_status,artist_status,D_insufficient,insufficient,insufficient,insufficient_artist_evidence,1,number_of_artist_high_or_top_releases,0,0,0,1,18,19,شواهد اختصاصی این هنرمند برای تولید توصیه شخصی‌سازی‌شده کافی نیست.,artist high_or_top releases=1; total releases=19,در صورت نمایش پیشنهاد دسته‌ای، آن پیشنهاد جایگزین شواهد مستقیم هنرمند نیست.,RE_V2
محسن چاووشی,pop,days_since_previous_release,personalized_cadence,artist_specific_exploratory,C_exploratory,exploratory,medium,active_recommendation,13,number_of_positive_artist_releases_with_valid_previous_release_gap,0,0,0,13,8,21,فاصله انتشار آثار پربازده این هنرمند عمدتاً بین 18.9 تا 167.4 روز و میانه آن 58.0 روز بوده است.,positive cadence observations=13; IQR=18.9-167.4; median=58.0,فاصله انتشار ممکن است تحت تأثیر کمپین، فصل، بودجه، آماده‌بودن اثر و سیاست پلتفرم باشد.,RE_V2
محسن چاووشی,pop,duration_minutes,personalized_range,artist_specific,B_context_dependent,cautious,medium_high,active_recommendation,13,number_of_positive_artist_releases_with_duration,0,0,0,13,8,21,برای برنامه‌ریزی آثار آینده، بازه تاریخی آثار پربازده این هنرمند حدود 3.83 تا 4.57 دقیقه و میانه آن 4.20 دقیقه بوده است.,positive duration observations=13; IQR=3.83-4.57; median=4.20,این بازه باید همراه با ساختار قطعه، سبک، هدف انتشار و اندازه نمونه تفسیر شود.,RE_V2
محسن چاووشی,pop,title_has_music_video,contextual_marker,artist_specific,B_context_dependent,cautious,low,active_recommendation,2,total_artist_music_video_observations,2,0,2,13,8,21,قالب یا برچسب «Music Video» برای این هنرمند با احتیاط ارزیابی شود؛ در سابقه موجود، نمونه‌های این قالب کمتر در گروه عملکرد بالا قرار گرفته‌اند.,music-video observations=2; positive music videos=0; negative music videos=2; positive-group rate=0.00%; negative-group rate=25.00%,این نتیجه بر تعداد واقعی نمونه‌های Music Video همین هنرمند متکی است و رابطه علّی را اثبات نمی‌کند.,RE_V2
محسن چاووشی,pop,title_has_lyric_video,exploratory_opportunity,category_exploratory_fallback,C_exploratory,exploratory,low_medium,category_fallback_recommendation,6,number_of_positive_category_lyric_video_observations,12,6,6,19,57,76,در این دسته موسیقایی، قالب «Lyric Video» در بخشی از آثار پربازده دیده شده است؛ برای این هنرمند فقط به‌صورت آزمایشی بررسی شود.,positive category lyric videos=6; negative category lyric videos=6; total category lyric videos=12,این پیشنهاد fallback دسته‌ای است و شواهد مستقیم هنرمند را جایگزین نمی‌کند.,RE_V2
محسن یگانه,pop,days_since_previous_release,personalized_cadence,artist_specific_exploratory,C_exploratory,exploratory,low_medium,active_recommendation,3,number_of_positive_artist_releases_with_valid_previous_release_gap,0,0,0,3,9,12,فاصله انتشار آثار پربازده این هنرمند عمدتاً بین 355.3 تا 918.6 روز و میانه آن 706.2 روز بوده است.,positive cadence observations=3; IQR=355.3-918.6; median=706.2,فاصله انتشار ممکن است تحت تأثیر کمپین، فصل، بودجه، آماده‌بودن اثر و سیاست پلتفرم باشد.,RE_V2
محسن یگانه,pop,duration_minutes,personalized_range,artist_specific,B_context_dependent,cautious,medium,active_recommendation,4,number_of_positive_artist_releases_with_duration,0,0,0,4,8,12,برای برنامه‌ریزی آثار آینده، بازه تاریخی آثار پربازده این هنرمند حدود 3.84 تا 4.33 دقیقه و میانه آن 4.02 دقیقه بوده است.,positive duration observations=4; IQR=3.84-4.33; median=4.02,این بازه باید همراه با ساختار قطعه، سبک، هدف انتشار و اندازه نمونه تفسیر شود.,RE_V2
محسن یگانه,pop,title_has_lyric_video,exploratory_opportunity,category_exploratory_fallback,C_exploratory,exploratory,low_medium,category_fallback_recommendation,6,number_of_positive_category_lyric_video_observations,12,6,6,19,57,76,در این دسته موسیقایی، قالب «Lyric Video» در بخشی از آثار پربازده دیده شده است؛ برای این هنرمند فقط به‌صورت آزمایشی بررسی شود.,positive category lyric videos=6; negative category lyric videos=6; total category lyric videos=12,این پیشنهاد fallback دسته‌ای است و شواهد مستقیم هنرمند را جایگزین نمی‌کند.,RE_V2
همایون شجریان,classic_fusion,insufficient_artist_evidence,coverage_status,artist_status,D_insufficient,insufficient,insufficient,insufficient_artist_evidence,1,number_of_artist_high_or_top_releases,0,0,0,1,7,8,شواهد اختصاصی این هنرمند برای تولید توصیه شخصی‌سازی‌شده کافی نیست.,artist high_or_top releases=1; total releases=8,در صورت نمایش پیشنهاد دسته‌ای، آن پیشنهاد جایگزین شواهد مستقیم هنرمند نیست.,RE_V2
هیچکس,rap_hiphop,days_since_previous_release,personalized_cadence,artist_specific_exploratory,C_exploratory,exploratory,low_medium,active_recommendation,3,number_of_positive_artist_releases_with_valid_previous_release_gap,0,0,0,3,4,7,فاصله انتشار آثار پربازده این هنرمند عمدتاً بین 60.2 تا 386.2 روز و میانه آن 78.3 روز بوده است.,positive cadence observations=3; IQR=60.2-386.2; median=78.3,فاصله انتشار ممکن است تحت تأثیر کمپین، فصل، بودجه، آماده‌بودن اثر و سیاست پلتفرم باشد.,RE_V2
هیچکس,rap_hiphop,duration_minutes,personalized_range,artist_specific,B_context_dependent,cautious,medium,active_recommendation,4,number_of_positive_artist_releases_with_duration,0,0,0,4,3,7,برای برنامه‌ریزی آثار آینده، بازه تاریخی آثار پربازده این هنرمند حدود 3.01 تا 3.67 دقیقه و میانه آن 3.22 دقیقه بوده است.,positive duration observations=4; IQR=3.01-3.67; median=3.22,این بازه باید همراه با ساختار قطعه، سبک، هدف انتشار و اندازه نمونه تفسیر شود.,RE_V2
گرشا رضایی,pop,title_has_lyric_video,exploratory_opportunity,category_exploratory_fallback,C_exploratory,exploratory,low_medium,category_fallback_recommendation,6,number_of_positive_category_lyric_video_observations,12,6,6,19,57,76,در این دسته موسیقایی، قالب «Lyric Video» در بخشی از آثار پربازده دیده شده است؛ برای این هنرمند فقط به‌صورت آزمایشی بررسی شود.,positive category lyric videos=6; negative category lyric videos=6; total category lyric videos=12,این پیشنهاد fallback دسته‌ای است و شواهد مستقیم هنرمند را جایگزین نمی‌کند.,RE_V2
گرشا رضایی,pop,insufficient_artist_evidence,coverage_status,artist_status,D_insufficient,insufficient,insufficient,insufficient_artist_evidence,0,number_of_artist_high_or_top_releases,0,0,0,0,11,11,شواهد اختصاصی این هنرمند برای تولید توصیه شخصی‌سازی‌شده کافی نیست.,artist high_or_top releases=0; total releases=11,در صورت نمایش پیشنهاد دسته‌ای، آن پیشنهاد جایگزین شواهد مستقیم هنرمند نیست.,RE_V2
