channel_id,api_channel_title,custom_url,country,subscriber_count,video_count,view_count,api_channel_description
UCCn_0vWsa35jSTRNlX15hzQ,TPM - Top Persian Music,@toppersianmusic,DE,780000,11239,493434212,"Welcome to TPM - Top Persian Music! We are dedicated to bringing you the best in Iranian music. Our channel features a wide variety of genres and artists, including some of the most famous names in the industry. With numerous videos boasting millions of views, we're proud to be a top destination for Iranian music lovers.

We're always looking to work with new artists and expand our offerings. If you're an artist interested in collaborating with us, please don't hesitate to reach out by sending an email to [tpmusic.channel@gmail.com]. We'd love to hear from you!

DMCA - § 512(f) Misrepresentations Section 512(f) deters false claims of infringement by imposing liability on anyone who makes such claims, for the damages suffered by other parties as a result of the OSP's reliance on the false claim, and for associated legal fees. Don't make false claims! 
If you have any concerns about the content on our channel, please don't hesitate to contact us at [tpmusic.channel@gmail.com].
"
UCO7rnnjVkPeDutLWuROEzKw,MohsenChavoshiVEVO,@mohsenchavoshivevo9770,,1010,75,82965163,"Welcome to the Official VEVO channel of Mohsen Chavoshi. Please take a moment and subscribe! Thank you

"
UCVjt1H4u5z3Ya7_hxHGus6w,Radio Javan,@radiojavan,US,1060000,2841,972925145,Radio Javan is the premiere source of Persian and Iranian music with the newest and latest exclusive music video and songs.
UCMQ39QYA6tpAu_ZDaOWn7IQ,Farzad Farzin,@farzadfarzinnet,US,75300,184,70480409,"I am Farzad Farzin and this is my official YouTube channel.

You can find link to this YouTube account on my website:
http://farzadfarzin.net
http://t.me/farzadfarzin2"
UCregxQqAisNcggQriK9f3Qw,Alireza Ghorbani,@alirezaghorbaniofficial,US,74500,113,40906129,"Official Channel of Alireza Ghorbani
Iranian Singer And Musician
Alireza Ghorbani was born in 1972 in Tehran. He started his vocal lessons when he was 12, and he was a solo vocalist of National Orchestra when he was 27. Alireza Ghorbani also became at thirty years a foreground singer of the Persian song. His very ramified repertory constitutes the radif and the tasnif, whose vocal rarest techniques are very well controlled from him. He occurs in small formation, with four musicians, as with the national Orchestra of Iran

t.me/AlirezaGhorbaniOfficial
"
UC8u6telGfDJ2wd8lSwLoauQ,Persian Music Group,@persianmusic_group,DE,1450000,2963,1131490463,"Persian Music Group is the leader in Persian Music industry. Check out the newest and latest music videos and songs here on our official YouTube channel and subscribe if you want to hear more.

If you want your videos to be published in our channel please write us an email to get to know more about the different options and conditions.

Please note that any copyright action against the Official YouTube Channel will be taken seriously. Please email before taking any action and we will aim to resolve any issues as quickly as possible.
_______________
DMCA - § 512(f) Misrepresentations Section 512(f) deters false claims of infringement by imposing liability on anyone who makes such claims, for the damages suffered by other parties as a result of the OSP's reliance on the false claim, and for associated legal fees. Don't make false claims!"
UCF2LMk6XCzazmPPWrxc7qSg,Mohsen Yeganeh,@mohsenyeganehofficial,,571000,56,330631570,
UCQnVOIzzZ-r2vKWZGEvd7Zw,Sohrab Pakzad,@sohrab.pakzad,,39900,84,55877543,The Official Youtube Channel Of Sohrab Pakzad
UCmBIX3tItWTCmbkcARiyZkg,Homayoun Shajarian,@homayounshajarianchannel,DE,103000,269,32707763,"| The official YouTube Channel of Homayoun Shajarian |

"
UC9qZPJyvvZiBmzYdqdgly1w,SohrabPakzadVEVO,@sohrabpakzadvevo,,2630,44,29200902,
UCisezGQDdiJZ6lmMQjVclvA,Garsha Rezaei,@garsharezaeiofficial,DE,17900,241,10561242,"Welcome to the official YouTube channel of Garsha Rezaei! 

Here you will find all of Garsha’s music, including his latest hits and old favorites. With a unique voice and style, Garsha has captured the hearts of fans with his beautiful melodies and heartfelt lyrics. 
Subscribe to stay up-to-date with all of Garsha’s new releases!"
UCAnylXo06Lw_x8swLZhIosg,Hichkas,@hichkasofficial,GB,69700,18,12753699,"Soroush Lashkary better known by his stage name, Hichkas (nobody in Persian) is an Iranian song writer, rapper, record producer. Dubbed the godfather of Iranian rap and pioneer of Iranian hip-hop genre, Hichkas’s early releases combined traditional Iranian instruments and urban beats to create a hybrid genre, a combination of east and west. Lyrically, Hichkas’s songs are full of idioms, onomatopoeia, similes, alliteration, assonance, metaphors, a play on folk Persian proverbs and themed around social and cultural issues. Hichkas’s first album ‘Jangale Asfalt’ (The Asphalt Jungle) was initially released in 2005 was seminal in that it was the first professional hip-hop LP to be released from Iran, and became a fine example of Iranian arts and culture. Hichkas also, founded 021, Candis and the record label Saamet. Hichkas is working on his highly anticipated second LP, Mojaz."
UCjibqVppvIlLK4lbXRsbhhw,Melodifa,@melodifa,CA,375000,1477,188447718,"MELODIFA is a reference channel in Persian music on YouTube. 
Subscribe to the Melodifa channel to stay up on the latest news and updates from Persian music.

#melodifa #persiansongs #Iranianmusic"
UCFnc_tL9if9l5As18rnAyGA,Mohsen Chavoshi,@chavoshiofficial,DE,237000,98,173430665,"Welcome to the Official Channel Of Mohsen Chavoshi



"
UC6J32FcpsyYA_JGxrEHPbBQ,Alireza Yazdani,@alirezayazdanimusic,GB,3160,14,975584,"Welcome to my channel! 🎵
Hi, I’m Alireza Yazdani, and this channel is dedicated to Persian remix music with an ambient vibe. Here, you’ll find unique remixes of Persian songs with atmospheric and emotional soundscapes.

‏If you love calm, emotional, and immersive music, don’t forget to subscribe and hit the 🔔notification bell so you never miss a new upload"
UCUR0IBUfM1puV2qa-3m7FWQ,farsiReact,@farsireact5359,,39200,12,7509250,ری‌اکشن خارجی ها به آهنگ های ایرانی🤟🤟
UCpToffK2aE57CCK_uBCNHyA,Fact Music,@factmusic,DE,186000,1339,82846825,"Welcome to the official YouTube channel of Fact Music. Fact Music is a registered TRADEMARK owned by NG Network GmbH.

Fact music will distribute, protect and promote your music on YouTube.


Contact us: 
Email: info@ng-network.com
Tel: +4915213057484
"
UC7Hs0659Yc82h7Snhjnfd4g,Avang Music,@avangmusic,US,1150000,2588,1387287736,"Avang Music's official YouTube channel is the ultimate destination for Persian music fans. As the leader in the Persian music industry, Avang Music offers viewers  with the latest music videos and songs from top Persian artists.

With a vast collection of music and entertainment content, Avang Music's YouTube channel offers a wide variety of playlists for viewers to enjoy. From pop and rock to traditional Persian music, the channel has something for every taste. In addition to music videos, the channel also features live performances, interviews, and behind-the-scenes content that offers a unique look into the Persian music industry.

"
UCN73foROjDkwZEKS05z6KHQ,The ZiCord,@thezicord,US,14900,131,18356587,"Just Record!
Publish and Sell Your Music Globally with ZiCord!

Please note that We own all rights to the content we publish on this channel.
So, Please Don't Make Fake Claims. We Can Pursue This Matter Legally.
DMCA - § 512(f) Misrepresentations Section 512(f) deters false claims of infringement by imposing liability on anyone who makes such claims for the damages suffered by other parties as a result of the OSP's reliance on the false claim, and for associated legal fees.

"
UCIoXa9CZoDHPao2qnfGU5mg,honarnewsofficial,@honarnewsofficial_,TR,67800,3584,482267137,"‏Media/news company
اخبارو حواشی  روز سینما،تلویزیون ، تئاتر و هنرمندان و...
‏The daily source for Iranian cinema,TV & theatr
.
❤️سلام جهت همکاری و امورکاری به ایمیل زیر پیام بدین👇
Honarnewspage@gmail.com

💢لطفا کپی نکنید هم تو یوتیوب هم اینستا خطر کپی رایت در کمین است✨
.
ما یه رسانه بین الملی هستیم که اخبار و حواشی هنرمندان ایران و جهان و ولاگ اکران های خصوصی رو منتشر میکنیم
و بعضی از فیلم های کوتاه و بلند که مجوز انتشار آنها رو داریم رو در اختیار شما عزیزان میزاریم

‏We are an international media that publishes the news and sidelines of Iranian and international artists and vlogs of private screenings
‏And we provide you with a number of short and long films that we have permission to screen"
