artist_name_fa,category,signal,rule_type,recommendation_scope,evidence_grade,recommendation_strength,confidence,support_count,comparison_count,recommendation_text,evidence_summary,uncertainty_note,recommendation_engine_version
ساسی مانکن,rap_hiphop,duration_minutes,personalized_range,artist_specific,B_context_dependent,cautious,low_medium,2,15,برای برنامه‌ریزی آثار آینده، بازه مدت آثار پربازده این هنرمند حدود 3.20 تا 4.15 دقیقه و میانه آن 3.67 دقیقه بوده است.,positive-release duration IQR=3.20-4.15 minutes; median=3.67,این بازه نسخه‌برداری از گذشته نیست و باید همراه با ساختار قطعه، سبک و هدف انتشار تفسیر شود.,RE_V1
ساسی مانکن,rap_hiphop,days_since_previous_release,personalized_cadence,artist_specific_exploratory,C_exploratory,exploratory,low_medium,2,15,فاصله انتشار آثار پربازده این هنرمند در داده موجود عمدتاً بین 396.8 تا 460.2 روز بوده و میانه آن 428.5 روز است.,positive-release cadence IQR=396.8-460.2 days; median=428.5,فاصله انتشار تحت تأثیر کمپین تبلیغاتی، فصل، آمادگی اثر و برنامه پلتفرم قرار دارد.,RE_V1
سهراب پاکزاد,pop,title_has_lyric_video,exploratory_opportunity,category_exploratory_fallback,C_exploratory,exploratory,low,19,76,در این دسته موسیقایی، قالب «Lyric Video» در میان برخی آثار پربازده بیشتر دیده شده است؛ برای این هنرمند فقط به‌صورت آزمایشی بررسی شود.,category high_or_top lyric-video rate=31.58%; category overall rate=15.79%,این پیشنهاد از الگوی دسته موسیقایی استخراج شده و شواهد مستقیم هنرمند کافی نیست.,RE_V1
علیرضا قربانی,classic_fusion,duration_minutes,personalized_range,artist_specific,B_context_dependent,cautious,medium_high,4,9,برای برنامه‌ریزی آثار آینده، بازه مدت آثار پربازده این هنرمند حدود 3.57 تا 5.67 دقیقه و میانه آن 4.52 دقیقه بوده است.,positive-release duration IQR=3.57-5.67 minutes; median=4.52,این بازه نسخه‌برداری از گذشته نیست و باید همراه با ساختار قطعه، سبک و هدف انتشار تفسیر شود.,RE_V1
علیرضا قربانی,classic_fusion,days_since_previous_release,personalized_cadence,artist_specific_exploratory,C_exploratory,exploratory,medium,4,9,فاصله انتشار آثار پربازده این هنرمند در داده موجود عمدتاً بین 92.1 تا 560.4 روز بوده و میانه آن 325.7 روز است.,positive-release cadence IQR=92.1-560.4 days; median=325.7,فاصله انتشار تحت تأثیر کمپین تبلیغاتی، فصل، آمادگی اثر و برنامه پلتفرم قرار دارد.,RE_V1
فرزاد فرزین,pop,title_has_lyric_video,exploratory_opportunity,category_exploratory_fallback,C_exploratory,exploratory,low,19,76,در این دسته موسیقایی، قالب «Lyric Video» در میان برخی آثار پربازده بیشتر دیده شده است؛ برای این هنرمند فقط به‌صورت آزمایشی بررسی شود.,category high_or_top lyric-video rate=31.58%; category overall rate=15.79%,این پیشنهاد از الگوی دسته موسیقایی استخراج شده و شواهد مستقیم هنرمند کافی نیست.,RE_V1
محسن چاووشی,pop,duration_minutes,personalized_range,artist_specific,B_context_dependent,cautious,medium_high,13,21,برای برنامه‌ریزی آثار آینده، بازه مدت آثار پربازده این هنرمند حدود 3.83 تا 4.57 دقیقه و میانه آن 4.20 دقیقه بوده است.,positive-release duration IQR=3.83-4.57 minutes; median=4.20,این بازه نسخه‌برداری از گذشته نیست و باید همراه با ساختار قطعه، سبک و هدف انتشار تفسیر شود.,RE_V1
محسن چاووشی,pop,title_has_music_video,contextual_marker,artist_specific,B_context_dependent,cautious,medium_high,13,21,برچسب یا قالب «Music Video» برای این هنرمند با احتیاط استفاده شود؛ در داده تاریخی همین هنرمند، این قالب در میان آثار پربازده سهم کمتری داشته است.,high_or_top music-video rate=0.0%; other-release music-video rate=25.0%,این رابطه مشاهده‌ای است و ممکن است ناشی از نوع اثر، بودجه تولید، زمان انتشار یا سیاست کانال باشد.,RE_V1
محسن چاووشی,pop,days_since_previous_release,personalized_cadence,artist_specific_exploratory,C_exploratory,exploratory,medium,13,21,فاصله انتشار آثار پربازده این هنرمند در داده موجود عمدتاً بین 18.9 تا 167.4 روز بوده و میانه آن 58.0 روز است.,positive-release cadence IQR=18.9-167.4 days; median=58.0,فاصله انتشار تحت تأثیر کمپین تبلیغاتی، فصل، آمادگی اثر و برنامه پلتفرم قرار دارد.,RE_V1
محسن چاووشی,pop,title_has_lyric_video,exploratory_opportunity,category_exploratory_fallback,C_exploratory,exploratory,low,19,76,در این دسته موسیقایی، قالب «Lyric Video» در میان برخی آثار پربازده بیشتر دیده شده است؛ برای این هنرمند فقط به‌صورت آزمایشی بررسی شود.,category high_or_top lyric-video rate=31.58%; category overall rate=15.79%,این پیشنهاد از الگوی دسته موسیقایی استخراج شده و شواهد مستقیم هنرمند کافی نیست.,RE_V1
